address,signature,type,source,slot,timestamp,fee,fee_payer,transfer_type,mint,amount,from_account,to_account,description
4AptRoJuizBBSicqzJiDic6TVEju7jHirDtHhLj1prg1,4uu4RDX2R5xsLU73dVDj3cnxVVk1xerT31euLCMKqrgQ38Ev9pu9EU2VshDE6Cm11dXUM5Wz6wXqfLEFpmTovEQG,TRANSFER,SYSTEM_PROGRAM,368292447,2025-09-21T12:07:04+00:00,5825,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,native,SOL,1,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,CipPQEgPZuNvrrjBxQdnzUhyZmhHfupkA65CdQEYZQhy,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr transferred a total 0.000005845 SOL to multiple accounts.
4AptRoJuizBBSicqzJiDic6TVEju7jHirDtHhLj1prg1,4uu4RDX2R5xsLU73dVDj3cnxVVk1xerT31euLCMKqrgQ38Ev9pu9EU2VshDE6Cm11dXUM5Wz6wXqfLEFpmTovEQG,TRANSFER,SYSTEM_PROGRAM,368292447,2025-09-21T12:07:04+00:00,5825,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,native,SOL,1,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,8zBM3Nhi5Z95AbpVvMaMCj5jhQf1G9DCCaLwDEABTFpv,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr transferred a total 0.000005845 SOL to multiple accounts.
4AptRoJuizBBSicqzJiDic6TVEju7jHirDtHhLj1prg1,4uu4RDX2R5xsLU73dVDj3cnxVVk1xerT31euLCMKqrgQ38Ev9pu9EU2VshDE6Cm11dXUM5Wz6wXqfLEFpmTovEQG,TRANSFER,SYSTEM_PROGRAM,368292447,2025-09-21T12:07:04+00:00,5825,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,native,SOL,1,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,9Qr8wYrbQRXRdyGLByXhFk2cT9iymD9pBGFsjMpH73jA,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr transferred a total 0.000005845 SOL to multiple accounts.
4AptRoJuizBBSicqzJiDic6TVEju7jHirDtHhLj1prg1,4uu4RDX2R5xsLU73dVDj3cnxVVk1xerT31euLCMKqrgQ38Ev9pu9EU2VshDE6Cm11dXUM5Wz6wXqfLEFpmTovEQG,TRANSFER,SYSTEM_PROGRAM,368292447,2025-09-21T12:07:04+00:00,5825,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,native,SOL,1,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,97Gx1kvBHquFESZN1wfqEDC6jievrZSLFeaHdKgaAq86,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr transferred a total 0.000005845 SOL to multiple accounts.
4AptRoJuizBBSicqzJiDic6TVEju7jHirDtHhLj1prg1,4uu4RDX2R5xsLU73dVDj3cnxVVk1xerT31euLCMKqrgQ38Ev9pu9EU2VshDE6Cm11dXUM5Wz6wXqfLEFpmTovEQG,TRANSFER,SYSTEM_PROGRAM,368292447,2025-09-21T12:07:04+00:00,5825,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,native,SOL,1,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,5SA5DKSnSWq3V3gFGavtv3cKebLdnDXDSMWyobKLpkt6,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr transferred a total 0.000005845 SOL to multiple accounts.
4AptRoJuizBBSicqzJiDic6TVEju7jHirDtHhLj1prg1,4uu4RDX2R5xsLU73dVDj3cnxVVk1xerT31euLCMKqrgQ38Ev9pu9EU2VshDE6Cm11dXUM5Wz6wXqfLEFpmTovEQG,TRANSFER,SYSTEM_PROGRAM,368292447,2025-09-21T12:07:04+00:00,5825,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,native,SOL,1,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,6HSnzeJFfPcSoRabBjKDhuwQ9b2gCVPgYPR8seypc6gz,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr transferred a total 0.000005845 SOL to multiple accounts.
4AptRoJuizBBSicqzJiDic6TVEju7jHirDtHhLj1prg1,4uu4RDX2R5xsLU73dVDj3cnxVVk1xerT31euLCMKqrgQ38Ev9pu9EU2VshDE6Cm11dXUM5Wz6wXqfLEFpmTovEQG,TRANSFER,SYSTEM_PROGRAM,368292447,2025-09-21T12:07:04+00:00,5825,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,native,SOL,1,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,BYSvHyCKmg4e8ErPwz35KpiQDDJLAd9793ufLP4TzHrS,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr transferred a total 0.000005845 SOL to multiple accounts.
4AptRoJuizBBSicqzJiDic6TVEju7jHirDtHhLj1prg1,4uu4RDX2R5xsLU73dVDj3cnxVVk1xerT31euLCMKqrgQ38Ev9pu9EU2VshDE6Cm11dXUM5Wz6wXqfLEFpmTovEQG,TRANSFER,SYSTEM_PROGRAM,368292447,2025-09-21T12:07:04+00:00,5825,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,native,SOL,1,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,7XTcGUHf8vYp7MtRVVHrkBzbKxvnFjnjtwB6jpecsLGz,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr transferred a total 0.000005845 SOL to multiple accounts.
4AptRoJuizBBSicqzJiDic6TVEju7jHirDtHhLj1prg1,4uu4RDX2R5xsLU73dVDj3cnxVVk1xerT31euLCMKqrgQ38Ev9pu9EU2VshDE6Cm11dXUM5Wz6wXqfLEFpmTovEQG,TRANSFER,SYSTEM_PROGRAM,368292447,2025-09-21T12:07:04+00:00,5825,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,native,SOL,1,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,5nkUX8JMrBEj7NsWAtzsxZiWWcBiFvLZJuYkY3pHCPfb,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr transferred a total 0.000005845 SOL to multiple accounts.
4AptRoJuizBBSicqzJiDic6TVEju7jHirDtHhLj1prg1,4uu4RDX2R5xsLU73dVDj3cnxVVk1xerT31euLCMKqrgQ38Ev9pu9EU2VshDE6Cm11dXUM5Wz6wXqfLEFpmTovEQG,TRANSFER,SYSTEM_PROGRAM,368292447,2025-09-21T12:07:04+00:00,5825,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,native,SOL,1,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,72cm4u3Ac1keoBxcYwCnaRygCBDyw1EANCzXaPDcgasr,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr transferred a total 0.000005845 SOL to multiple accounts.
4AptRoJuizBBSicqzJiDic6TVEju7jHirDtHhLj1prg1,34thw557VxzvWVHm3dd93kxrBTaLwPt37WaMj5BhEUXfDnHrbfm7pftnjt3zKG3LjVrxNGpcRL2P4NvjDLjax9Q5,TRANSFER,SYSTEM_PROGRAM,368183362,2025-09-21T00:07:08+00:00,5825,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,native,SOL,1,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,D5Yfxa8wAimYVLmNbQKxALoi2SFYsvwXTE5rBMxb5cg1,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr transferred a total 0.000005845 SOL to multiple accounts.
4AptRoJuizBBSicqzJiDic6TVEju7jHirDtHhLj1prg1,34thw557VxzvWVHm3dd93kxrBTaLwPt37WaMj5BhEUXfDnHrbfm7pftnjt3zKG3LjVrxNGpcRL2P4NvjDLjax9Q5,TRANSFER,SYSTEM_PROGRAM,368183362,2025-09-21T00:07:08+00:00,5825,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,native,SOL,1,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,Ag1xZMNkd7BRYZNo76GsLSTigo7RizDBjndVMVxV51Qo,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr transferred a total 0.000005845 SOL to multiple accounts.
4AptRoJuizBBSicqzJiDic6TVEju7jHirDtHhLj1prg1,34thw557VxzvWVHm3dd93kxrBTaLwPt37WaMj5BhEUXfDnHrbfm7pftnjt3zKG3LjVrxNGpcRL2P4NvjDLjax9Q5,TRANSFER,SYSTEM_PROGRAM,368183362,2025-09-21T00:07:08+00:00,5825,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,native,SOL,1,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,8DSLuW8x9ZaThSW5GLuTcnNgba4teW4hdczha56s7JZM,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr transferred a total 0.000005845 SOL to multiple accounts.
4AptRoJuizBBSicqzJiDic6TVEju7jHirDtHhLj1prg1,34thw557VxzvWVHm3dd93kxrBTaLwPt37WaMj5BhEUXfDnHrbfm7pftnjt3zKG3LjVrxNGpcRL2P4NvjDLjax9Q5,TRANSFER,SYSTEM_PROGRAM,368183362,2025-09-21T00:07:08+00:00,5825,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,native,SOL,1,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,FBYGJJRUU77FNPa2ATW2SegqZ7WadjTcvuY3qRfioab,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr transferred a total 0.000005845 SOL to multiple accounts.
4AptRoJuizBBSicqzJiDic6TVEju7jHirDtHhLj1prg1,34thw557VxzvWVHm3dd93kxrBTaLwPt37WaMj5BhEUXfDnHrbfm7pftnjt3zKG3LjVrxNGpcRL2P4NvjDLjax9Q5,TRANSFER,SYSTEM_PROGRAM,368183362,2025-09-21T00:07:08+00:00,5825,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,native,SOL,1,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,8JXuPWjgxbWcaRSfCgbYvPfyjNfXLazzW5HtWGCcrLxz,5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr transferred a total 0.000005845 SOL to multiple accounts.
